Ref_Date,GEO,OCC,Vector,Coordinate,Value
2011/12,Alberta,All occupations,v64592991,10.1,33730
2011/07,Alberta,All occupations,v64592991,10.1,33690
2014/03,Alberta,All occupations,v64592991,10.1,33540
2014/04,Alberta,All occupations,v64592991,10.1,32580
2013/12,Alberta,All occupations,v64592991,10.1,32430
2005/03,Alberta,All occupations,v64592991,10.1,32120
2014/12,Alberta,All occupations,v64592991,10.1,31990
2013/03,Alberta,All occupations,v64592991,10.1,31830
2012/04,Alberta,All occupations,v64592991,10.1,31760
2013/07,Alberta,All occupations,v64592991,10.1,31550
2013/08,Alberta,All occupations,v64592991,10.1,31490
2012/07,Alberta,All occupations,v64592991,10.1,31300
2012/12,Alberta,All occupations,v64592991,10.1,31300
2014/07,Alberta,All occupations,v64592991,10.1,31290
2013/04,Alberta,All occupations,v64592991,10.1,31260
2012/08,Alberta,All occupations,v64592991,10.1,30930
2014/08,Alberta,All occupations,v64592991,10.1,30700
2009/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,29850
2011/11,Alberta,All occupations,v64592991,10.1,29340
2010/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,29310
2010/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,28870
2005/04,Alberta,All occupations,v64592991,10.1,28830
2006/01,Alberta,All occupations,v64592991,10.1,28660
2009/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,28140
2006/02,Alberta,All occupations,v64592991,10.1,28070
2013/11,Alberta,All occupations,v64592991,10.1,28060
2014/05,Alberta,All occupations,v64592991,10.1,28020
2010/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,27930
2013/05,Alberta,All occupations,v64592991,10.1,27880
2013/06,Alberta,All occupations,v64592991,10.1,27700
2015/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,27390
2012/05,Alberta,All occupations,v64592991,10.1,27320
2014/11,Alberta,All occupations,v64592991,10.1,27260
2014/06,Alberta,All occupations,v64592991,10.1,27210
2009/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,27190
2011/09,Alberta,All occupations,v64592991,10.1,27160
2008/12,Alberta,All occupations,v64592991,10.1,27070
2012/11,Alberta,All occupations,v64592991,10.1,26890
2011/10,Alberta,All occupations,v64592991,10.1,26390
2006/03,Alberta,All occupations,v64592991,10.1,26180
2012/06,Alberta,All occupations,v64592991,10.1,25970
2007/01,Alberta,All occupations,v64592991,10.1,25790
2010/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,25730
2009/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,25580
2005/08,Alberta,All occupations,v64592991,10.1,25560
2007/02,Alberta,All occupations,v64592991,10.1,25350
2013/10,Alberta,All occupations,v64592991,10.1,25200
2008/02,Alberta,All occupations,v64592991,10.1,25160
2009/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,24900
2014/10,Alberta,All occupations,v64592991,10.1,24490
2011/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,24470
2013/09,Alberta,All occupations,v64592991,10.1,24440
2008/01,Alberta,All occupations,v64592991,10.1,24420
2011/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,24320
2006/04,Alberta,All occupations,v64592991,10.1,24270
2005/05,Alberta,All occupations,v64592991,10.1,24110
2005/12,Alberta,All occupations,v64592991,10.1,24070
2007/03,Alberta,All occupations,v64592991,10.1,24020
2014/09,Alberta,All occupations,v64592991,10.1,23990
2012/10,Alberta,All occupations,v64592991,10.1,23960
2006/08,Alberta,All occupations,v64592991,10.1,23660
2008/04,Alberta,All occupations,v64592991,10.1,23150
2009/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,23150
2012/09,Alberta,All occupations,v64592991,10.1,23130
2011/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,23080
2007/04,Alberta,All occupations,v64592991,10.1,22880
2015/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,22840
2008/03,Alberta,All occupations,v64592991,10.1,22810
2006/12,Alberta,All occupations,v64592991,10.1,22710
2015/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,22670
2009/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,22390
2005/06,Alberta,All occupations,v64592991,10.1,22310
2009/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,22260
2008/11,Alberta,All occupations,v64592991,10.1,22130
2015/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,21680
2015/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,21470
2011/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,21350
2005/11,Alberta,All occupations,v64592991,10.1,21340
2008/08,Alberta,All occupations,v64592991,10.1,21270
2006/05,Alberta,All occupations,v64592991,10.1,21190
2007/12,Alberta,All occupations,v64592991,10.1,21150
2009/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,21000
2010/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,20840
2005/07,Alberta,All occupations,v64592991,10.1,20650
2009/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,20600
2007/05,Alberta,All occupations,v64592991,10.1,20510
2008/05,Alberta,All occupations,v64592991,10.1,20480
2009/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,20390
2008/07,Alberta,All occupations,v64592991,10.1,20380
2007/08,Alberta,All occupations,v64592991,10.1,20350
2006/11,Alberta,All occupations,v64592991,10.1,20340
2006/06,Alberta,All occupations,v64592991,10.1,20040
2015/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,20000
2015/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,19900
2007/07,Alberta,All occupations,v64592991,10.1,19750
2005/09,Alberta,All occupations,v64592991,10.1,19640
2005/10,Alberta,All occupations,v64592991,10.1,19640
2010/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,19630
2008/10,Alberta,All occupations,v64592991,10.1,19200
2008/06,Alberta,All occupations,v64592991,10.1,19140
2015/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,19000
2006/09,Alberta,All occupations,v64592991,10.1,18780
2006/10,Alberta,All occupations,v64592991,10.1,18750
2012/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18560
2012/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18460
2007/11,Alberta,All occupations,v64592991,10.1,18350
2010/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18330
2007/06,Alberta,All occupations,v64592991,10.1,18250
2008/09,Alberta,All occupations,v64592991,10.1,18210
2015/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18100
2015/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18090
2009/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,18060
2006/07,Alberta,All occupations,v64592991,10.1,17960
2012/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,17450
2015/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,17400
2015/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,17340
2007/10,Alberta,All occupations,v64592991,10.1,17290
2014/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,17240
2014/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,17170
2013/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,16900
2007/09,Alberta,All occupations,v64592991,10.1,16770
2005/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,16610
2013/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,16570
2010/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,16170
2014/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15960
2005/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15920
2011/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15800
2014/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15560
2010/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15350
2012/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,15030
2013/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14990
2005/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14770
2011/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14590
2014/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14570
2013/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14490
2010/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14300
2013/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14120
2011/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,14110
2010/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13670
2010/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13630
2012/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13300
2006/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13250
2006/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13240
2008/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,13110
2007/02,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12960
2007/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12950
2006/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12560
2005/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12390
2008/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12350
2008/01,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12240
2007/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,12170
2010/08,Alberta,Sales and service occupations,v64593355,10.17,11810
2014/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11800
2009/08,Alberta,Sales and service occupations,v64593355,10.17,11710
2006/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11530
2008/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11390
2013/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11330
2008/03,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11170
2012/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11170
2011/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11160
2013/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11160
2014/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11120
2014/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11110
2011/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,11060
2013/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,10860
2007/04,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,10700
2009/07,Alberta,Sales and service occupations,v64593355,10.17,10630
2015/08,Alberta,Sales and service occupations,v64593355,10.17,10480
2009/08,Alberta,"Business, finance and administrative occupations",v64593059,10.5,10460
2010/07,Alberta,Sales and service occupations,v64593355,10.17,10400
2006/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,10120
2015/12,Alberta,Other trades occupations,v64593483,10.27,10070
2011/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9990
2012/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9970
2012/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9970
2009/07,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9780
2009/11,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9600
2010/01,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9570
2009/12,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9540
2007/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9520
2015/07,Alberta,Sales and service occupations,v64593355,10.17,9510
2011/08,Alberta,Sales and service occupations,v64593355,10.17,9440
2009/09,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9420
2005/12,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9410
2010/01,Alberta,Other trades occupations,v64593483,10.27,9400
2009/10,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9390
2008/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,9320
2009/05,Alberta,Other trades occupations,v64593483,10.27,9230
2010/02,Alberta,Other trades occupations,v64593483,10.27,9230
2009/06,Alberta,Other trades occupations,v64593483,10.27,9200
2010/02,Alberta,"Business, finance and administrative occupations",v64593059,10.5,9190
2015/11,Alberta,Other trades occupations,v64593483,10.27,9160
2009/04,Alberta,Other trades occupations,v64593483,10.27,9140
2009/12,Alberta,Other trades occupations,v64593483,10.27,9050
2014/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8960
2010/03,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8950
2008/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8900
2009/11,Alberta,Other trades occupations,v64593483,10.27,8880
2006/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8860
2011/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8850
2011/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8850
2010/08,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8810
2009/06,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8800
2010/03,Alberta,Other trades occupations,v64593483,10.27,8750
2007/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8670
2010/07,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8650
2010/01,Alberta,Sales and service occupations,v64593355,10.17,8640
2010/04,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8640
2010/03,Alberta,Sales and service occupations,v64593355,10.17,8630
2010/02,Alberta,Sales and service occupations,v64593355,10.17,8620
2005/05,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8560
2013/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8550
2014/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8550
2009/03,Alberta,Other trades occupations,v64593483,10.27,8540
2009/10,Alberta,Other trades occupations,v64593483,10.27,8520
2009/12,Alberta,Sales and service occupations,v64593355,10.17,8490
2012/08,Alberta,Sales and service occupations,v64593355,10.17,8460
2014/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8460
2006/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8430
2009/11,Alberta,Sales and service occupations,v64593355,10.17,8400
2010/04,Alberta,Sales and service occupations,v64593355,10.17,8370
2015/06,Alberta,Other trades occupations,v64593483,10.27,8370
2015/08,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8320
2010/05,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8310
2015/10,Alberta,Other trades occupations,v64593483,10.27,8310
2010/06,Alberta,"Business, finance and administrative occupations",v64593059,10.5,8250
2009/09,Alberta,Other trades occupations,v64593483,10.27,8180
2012/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8170
2013/08,Alberta,Sales and service occupations,v64593355,10.17,8140
2006/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8130
2010/04,Alberta,Other trades occupations,v64593483,10.27,8130
2012/07,Alberta,Sales and service occupations,v64593355,10.17,8130
2012/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8090
2010/05,Alberta,Sales and service occupations,v64593355,10.17,8020
2013/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,8010
2015/12,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7980
2014/08,Alberta,Sales and service occupations,v64593355,10.17,7950
2009/10,Alberta,Sales and service occupations,v64593355,10.17,7900
2009/09,Alberta,Sales and service occupations,v64593355,10.17,7880
2015/07,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7870
2013/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7860
2009/05,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7820
2015/09,Alberta,Other trades occupations,v64593483,10.27,7820
2013/07,Alberta,Sales and service occupations,v64593355,10.17,7780
2008/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7770
2010/06,Alberta,Sales and service occupations,v64593355,10.17,7750
2015/11,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7700
2015/04,Alberta,Other trades occupations,v64593483,10.27,7670
2009/04,Alberta,Transport and equipment operators,v64593542,10.28,7660
2015/05,Alberta,Other trades occupations,v64593483,10.27,7640
2014/07,Alberta,Sales and service occupations,v64593355,10.17,7600
2014/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7600
2010/09,Alberta,Sales and service occupations,v64593355,10.17,7500
2015/10,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7500
2013/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7460
2011/02,Alberta,Other trades occupations,v64593483,10.27,7440
2012/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7440
2008/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7430
2007/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7420
2009/07,Alberta,Other trades occupations,v64593483,10.27,7420
2010/12,Alberta,Sales and service occupations,v64593355,10.17,7420
2011/01,Alberta,Sales and service occupations,v64593355,10.17,7410
2010/09,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7400
2005/08,Alberta,Sales and service occupations,v64593355,10.17,7370
2015/09,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7370
2010/11,Alberta,Sales and service occupations,v64593355,10.17,7350
2005/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7310
2009/06,Alberta,Sales and service occupations,v64593355,10.17,7290
2005/11,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7280
2010/10,Alberta,Sales and service occupations,v64593355,10.17,7210
2010/05,Alberta,Other trades occupations,v64593483,10.27,7200
2015/03,Alberta,Other trades occupations,v64593483,10.27,7190
2006/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7180
2010/10,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7160
2007/06,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7150
2009/08,Alberta,Other trades occupations,v64593483,10.27,7140
2011/01,Alberta,Other trades occupations,v64593483,10.27,7140
2011/02,Alberta,Sales and service occupations,v64593355,10.17,7140
2012/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,7130
2009/04,Alberta,"Business, finance and administrative occupations",v64593059,10.5,7020
2010/01,Alberta,Transport and equipment operators,v64593542,10.28,6940
2015/02,Alberta,Other trades occupations,v64593483,10.27,6940
2011/03,Alberta,Other trades occupations,v64593483,10.27,6930
2010/11,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6920
2015/06,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6900
2010/12,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6890
2009/02,Alberta,Other trades occupations,v64593483,10.27,6860
2006/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,6850
2010/02,Alberta,Transport and equipment operators,v64593542,10.28,6800
2010/03,Alberta,Transport and equipment operators,v64593542,10.28,6780
2009/05,Alberta,Transport and equipment operators,v64593542,10.28,6740
2009/03,Alberta,Transport and equipment operators,v64593542,10.28,6710
2011/01,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6710
2009/05,Alberta,Sales and service occupations,v64593355,10.17,6700
2007/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,6690
2011/03,Alberta,Sales and service occupations,v64593355,10.17,6690
2009/08,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6670
2011/07,Alberta,Sales and service occupations,v64593355,10.17,6620
2008/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,6610
2010/06,Alberta,Other trades occupations,v64593483,10.27,6560
2009/04,Alberta,Sales and service occupations,v64593355,10.17,6530
2015/12,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,6530
2009/03,Alberta,Sales and service occupations,v64593355,10.17,6480
2010/04,Alberta,Transport and equipment operators,v64593542,10.28,6470
2015/07,Alberta,Other trades occupations,v64593483,10.27,6460
2009/07,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6380
2010/11,Alberta,Other trades occupations,v64593483,10.27,6380
2009/03,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6350
2015/08,Alberta,Other trades occupations,v64593483,10.27,6350
2006/08,Alberta,Sales and service occupations,v64593355,10.17,6340
2009/11,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6340
2009/12,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6340
2010/01,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6340
2011/02,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6330
2011/04,Alberta,Sales and service occupations,v64593355,10.17,6330
2010/12,Alberta,Other trades occupations,v64593483,10.27,6310
2015/05,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6290
2009/09,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6270
2010/02,Alberta,"Trades helpers, construction and transportation labourers and related occupations",v64593568,10.29,6260
2009/04,Alberta,"Trades helpers, construction and transportation labourers and related occupations",v64593568,10.29,6220
2009/08,Alberta,Clerical occupations,v64593102,10.138,6220
2009/10,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6220
2010/01,Alberta,"Trades helpers, construction and transportation labourers and related occupations",v64593568,10.29,6160
2011/04,Alberta,Other trades occupations,v64593483,10.27,6140
2015/12,Alberta,Transport and equipment operators,v64593542,10.28,6130
2010/03,Alberta,"Trades helpers, construction and transportation labourers and related occupations",v64593568,10.29,6120
2015/12,Alberta,Sales and service occupations,v64593355,10.17,6120
2008/08,Alberta,Sales and service occupations,v64593355,10.17,6110
2007/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,6080
2010/02,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,6070
2009/03,Alberta,"Trades helpers, construction and transportation labourers and related occupations",v64593568,10.29,6040
2011/03,Alberta,"Business, finance and administrative occupations",v64593059,10.5,6030
2005/10,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,6010
2009/06,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,5980
2009/07,Alberta,Transport and equipment operators,v64593542,10.28,5960
2009/07,Alberta,Clerical occupations,v64593102,10.138,5950
2015/11,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,5940
2010/03,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,5920
2015/11,Alberta,Sales and service occupations,v64593355,10.17,5910
2009/11,Alberta,Clerical occupations,v64593102,10.138,5890
2009/12,Alberta,Clerical occupations,v64593102,10.138,5870
2010/01,Alberta,Clerical occupations,v64593102,10.138,5870
2011/05,Alberta,Sales and service occupations,v64593355,10.17,5870
2015/01,Alberta,Other trades occupations,v64593483,10.27,5860
2015/04,Alberta,"Business, finance and administrative occupations",v64593059,10.5,5860
2009/08,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,5820
2009/09,Alberta,Clerical occupations,v64593102,10.138,5820
2009/10,Alberta,Clerical occupations,v64593102,10.138,5800
2015/10,Alberta,Sales and service occupations,v64593355,10.17,5780
2009/07,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,5760
2011/04,Alberta,"Business, finance and administrative occupations",v64593059,10.5,5760
2015/09,Alberta,Sales and service occupations,v64593355,10.17,5760
2009/12,Alberta,Transport and equipment operators,v64593542,10.28,5730
2006/07,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,5710
2015/03,Alberta,Transport and equipment operators,v64593542,10.28,5710
2010/04,Alberta,"Clerical occupations, including supervisors",v64593094,10.8,5700
2015/04,Alberta,Transport and equipment operators,v64593542,10.28,5690
2006/08,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,5680
2009/06,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,5680
2005/09,Alberta,"Trades, transport and equipment operators and related occupations",v64593449,10.24,5650
2009/09,Alberta,Natural and applied sciences and related occupations,v64593137,10.9,5650
2007/08,Alberta,Sales and service occupations,v64593355,10.17,5640
2009/08,Alberta,Transport and equipment operators,v64593542,10.28,5630
